payload.BuildingId,payload.EnqueuedTime,payload.EquipmentId,payload.SensorId,payload.FloorId,payload.SensorName,payload.SpaceId,payload.Telemetry.Exhaust air temperature,payload.Telemetry.Mixed air temperature,payload.Telemetry.Fresh air temperature,payload.Telemetry.OccupancyCount,payload.Telemetry.Off coil humidity,payload.Telemetry.Off coil temperature,payload.Telemetry.Return air CO2 set point,payload.Telemetry.Return air humidity,payload.Telemetry.Return air temperature,payload.Telemetry.Supply air humidity,payload.Telemetry.Supply air temperature,payload.Telemetry.ReturnAirCO2,payload.Telemetry.Supply_Air_Humidity_Setpoint,payload.Telemetry.Supply_Air_Temperature_Setpoint,payload.Telemetry.Vibration amplitude-x,payload.Telemetry.Vibration amplitude-y,payload.Unit,payload.Telemetry.AHU_Electricity,payload.Telemetry.AHU_FanElectricity,payload.Telemetry.AirPressure,payload.Telemetry.AirVelocity,payload.Telemetry.Alkalinity,payload.Telemetry.ApplianceLoad_PowerConsumption,payload.Telemetry.Bacterium,payload.Telemetry.BioChemicalOxygenDemand(BOD),payload.Telemetry.Chloride,payload.Telemetry.CO,payload.Telemetry.CO2,payload.Telemetry.Device Operating Temperature,payload.Telemetry.Device Temperature,payload.Telemetry.DissolvedOxygen(DO),payload.Telemetry.Entering_Water_Flow_Rate,payload.Telemetry.EnteringWaterPressure,payload.Telemetry.ExhaustAirPressure,payload.Telemetry.Flue_Gas_Temperature,payload.Telemetry.Fluoride,payload.Telemetry.Formaldehyde,payload.Telemetry.Fungus,payload.Telemetry.Gas_MassFlow,payload.Telemetry.Humidity,payload.Telemetry.Inlet refrigerant Temperature,payload.Telemetry.Leaving_Water_FlowRate,payload.Telemetry.LeavingWaterPressure,payload.Telemetry.LightLoad_PowerConsumption,payload.Telemetry.Lumninosity,payload.Telemetry.NO2,payload.Telemetry.Outlet refrigerant Temperature,payload.Telemetry.Pb,payload.Telemetry.pH,payload.Telemetry.PlugLoad_PowerConsumption,payload.Telemetry.PM1,payload.Telemetry.PowerConsumption,payload.Telemetry.PumpPowerConsumption,payload.Telemetry.Refregerant_Inlet_Pressure,payload.Telemetry.Refregerant_Outlet_Pressure,payload.Telemetry.Refrigerant_Inlet_Temperature,payload.Telemetry.Rotor Speed,payload.Telemetry.SO2,payload.Telemetry.Steam_FlowRate,payload.Telemetry.Steam_Operating_Pressure,payload.Telemetry.Steam_Operating_Pressure_SetPoint,payload.Telemetry.Steam_Temperature,payload.Telemetry.Supply Air FlowRate,payload.Telemetry.SupplyAirPressure,payload.Telemetry.Temperature,payload.Telemetry.TotalConductivity(TC),payload.Telemetry.TotalDissolvedSolid(TDS),payload.Telemetry.TotalHardness(TH),payload.Telemetry.TVOC,payload.Telemetry.Vibration amplitude-z,payload.Telemetry.Voltage,payload.Telemetry.Water FlowRate,payload.Telemetry.Water_Inlet_Temperature,payload.Telemetry.Water_Outlet_Temperature,payload.Telemetry.Water_Temperature
1001,2022-06-08T10:02:50.6260753Z,1224032,189564,179,Flow Sensor,,,,,,,,,,,,,,,,,,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,
1001,2022-06-08T10:02:50.6478852Z,280113,584884,179,Gas Sensor,,,,,,,,688,,,,,517,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:51.2230382Z,280113,823748,179,Humidity Sensor,,,,,,50,,,48,,48,,,37,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:51.5266797Z,280113,956232,179,Occupancy Sensor,,,,,84,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:52.2975561Z,1224032,658782,179,Pressure Sensor,,,,,,,,,,,,,,,,,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.43,,,,,,,,,,,,,,
1001,2022-06-08T10:02:53.2780228Z,1224032,658782,179,Pressure Sensor,,,,,,,,,,,,,,,,,,Pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'-75,97,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:53.8462775Z,280113,844569,179,Pressure Sensor,,,,,,,,,,,,,,,,,,Pa,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
1001,2022-06-08T10:02:55.0339174Z,1194550,975869,179,SmartMeter,,,,,,,,,,,,,,,,,,KWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:55.0355493Z,1224032,259948,179,Pressure Sensor,,,,,,,,,,,,,,,,,,hPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,0.216,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:55.6316671Z,1224032,259948,179,Pressure Sensor,,,,,,,,,,,,,,,,,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539,0.059,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:55.7661338Z,,758945,,SmartMeter,,,,,,,,,,,,,,,,,,KWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2022-06-08T10:02:56.1935206Z,280113,788844,179,SmartMeter,,,,,,,,,,,,,,,,,,KWh,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
